id,genre
1000599,Family
1000599,Adventure
1000600,Horror
1000600,Drama
1000602,Drama
1000602,Animation
1000602,Fantasy
1000602,Comedy
1000602,Family
1000603,Fantasy
1000603,Comedy
1000604,Comedy
1000604,Family
1000604,Animation
1000604,Adventure
1000604,Fantasy
1000605,Comedy
1000606,Adventure
1000606,Action
1000606,Science Fiction
1000607,Action
1000607,Adventure
1000607,Fantasy
1000608,Animation
1000608,Romance
1000608,Family
1000608,Fantasy
1000609,History
1000609,Drama
1000611,Horror
1000611,Drama
1000611,Action
1000611,Thriller
1000611,Science Fiction
1000613,Drama
1000613,Romance
1000614,Drama
1000614,Science Fiction
1000614,Thriller
1000614,Horror
1000615,Romance
1000615,Drama
1000618,Crime
1000618,Drama
1000618,Thriller
1000621,Drama
1000621,Adventure
1000622,Horror
1000622,Mystery
1000623,Comedy
1000623,Romance
1000625,Comedy
1000625,Romance
1000626,Fantasy
1000626,Action
1000626,Adventure
1000627,Horror
1000628,Western
1000628,Family
1000628,Animation
1000628,Comedy
1000628,Adventure
1000629,Action
1000629,Thriller
1000629,Adventure
1000630,Romance
1000630,Drama
1000631,Science Fiction
1000631,Horror
1000632,Action
1000632,Crime
1000632,Comedy
1000633,Drama
1000634,Action
1000634,Fantasy
1000634,Adventure
1000635,Drama
1000635,Comedy
1000636,Drama
1000636,Music
1000636,Romance
1000637,Comedy
1000637,Adventure
1000637,Drama
1000639,Science Fiction
1000639,Adventure
1000639,Action
1000640,Science Fiction
1000640,Action
1000640,Thriller
1000641,Comedy
1000641,Romance
1000643,Family
1000643,Adventure
1000643,Comedy
1000644,Romance
1000644,Thriller
1000644,Comedy
1000645,Romance
1000645,Drama
1000646,Music
1000646,Romance
1000646,Drama
1000647,Fantasy
1000647,Drama
1000648,Drama
1000649,Action
1000649,Adventure
1000650,Action
1000650,Drama
1000651,Drama
1000651,Adventure
1000651,Fantasy
1000652,Action
1000652,Science Fiction
1000652,Adventure
1000654,Drama
1000657,Adventure
1000657,Animation
1000657,Family
1000657,Fantasy
1000658,Drama
1000658,Crime
1000658,Thriller
1000659,Romance
1000659,Drama
1000659,Comedy
1000660,Comedy
1000661,Mystery
1000661,Crime
1000661,Adventure
1000662,Crime
1000662,Comedy
1000662,Action
1000663,Science Fiction
1000663,Action
1000663,Adventure
1000664,Comedy
1000664,Family
1000664,Fantasy
1000664,Adventure
1000664,Animation
1000666,Comedy
1000666,Animation
1000666,Adventure
1000666,Family
1000667,Drama
1000667,Thriller
1000672,Thriller
1000672,Action
1000672,Science Fiction
1000672,Adventure
1000673,Thriller
1000673,Drama
1000673,Mystery
1000674,Comedy
1000674,Drama
1000675,Drama
1000675,Romance
1000676,Family
1000676,Animation
1000676,Comedy
1000676,Crime
1000676,Adventure
1000676,Science Fiction
1000677,Drama
1000677,Fantasy
1000677,Comedy
1000677,Adventure
1000677,Romance
1000678,Action
1000678,Fantasy
1000678,Adventure
1000679,Mystery
1000679,Horror
1000679,Thriller
1000680,Adventure
1000680,Science Fiction
1000680,Action
1000681,Mystery
1000681,Science Fiction
1000681,Action
1000682,Thriller
1000682,Drama
1000682,Science Fiction
1000683,Adventure
1000683,Action
1000683,Comedy
1000684,Fantasy
1000684,Action
1000684,Adventure
1000687,Drama
1000688,Drama
1000688,Comedy
1000689,Romance
1000689,Music
1000689,Drama
1000692,Drama
1000692,Science Fiction
1000693,History
1000693,Drama
1000694,Drama
1000695,Fantasy
1000695,Family
1000695,Adventure
1000696,Crime
1000696,Mystery
1000696,Comedy
1000698,Romance
1000698,Comedy
1000698,Drama
1000700,Romance
1000700,Drama
1000701,Comedy
1000701,Crime
1000702,Drama
1000702,Crime
1000702,Thriller
1000704,Comedy
1000704,Family
1000704,Fantasy
1000705,Romance
1000705,Fantasy
1000705,Family
1000706,History
1000706,Drama
1000707,Horror
1000707,Fantasy
1000707,Thriller
1000708,Horror
1000708,Thriller
1000709,Horror
1000710,Science Fiction
1000710,Action
1000710,Adventure
1000711,Drama
1000712,Comedy
1000712,Animation
1000712,Adventure
1000712,Action
1000712,Fantasy
1000712,Family
1000713,Science Fiction
1000713,Drama
1000713,Action
1000713,Animation
1000715,Horror
1000715,Mystery
1000719,Adventure
1000719,Comedy
1000719,Fantasy
1000719,Family
1000719,Animation
1000720,Comedy
1000720,Action
1000721,Comedy
1000721,Adventure
1000721,Mystery
1000722,Comedy
1000722,Romance
1000722,Drama
1000723,Fantasy
1000723,Action
1000723,Adventure
1000724,Drama
1000724,Fantasy
1000724,Romance
1000724,Adventure
1000725,Drama
1000725,Science Fiction
1000727,Action
1000727,Drama
1000730,Drama
1000730,Comedy
1000731,Action
1000731,Science Fiction
1000732,War
1000732,Romance
1000732,Drama
1000732,Animation
1000734,Thriller
1000734,Drama
1000734,Mystery
1000735,History
1000735,Drama
1000736,Animation
1000736,Comedy
1000736,Family
1000736,Adventure
1000737,Comedy
1000737,Romance
1000738,Crime
1000738,Action
1000738,Comedy
1000740,War
1000740,Drama
1000740,Action
1000741,War
1000741,Adventure
1000741,Comedy
1000741,Action
1000742,Drama
1000743,Comedy
1000743,Drama
1000744,Mystery
1000744,War
1000744,Drama
1000745,Fantasy
1000745,Drama
1000747,Science Fiction
1000747,Adventure
1000747,Action
1000748,War
1000748,History
1000748,Drama
1000749,Animation
1000749,Comedy
1000749,Family
1000751,Thriller
1000751,Science Fiction
1000751,Action
1000752,History
1000752,Drama
1000753,Romance
1000753,Comedy
1000754,Comedy
1000754,Romance
1000757,Mystery
1000757,Horror
1000759,Action
1000759,Adventure
1000759,Science Fiction
1000759,Thriller
1000760,Action
1000760,Crime
1000760,Thriller
1000761,Science Fiction
1000761,Action
1000761,Adventure
1000762,Comedy
1000762,Crime
1000765,Comedy
1000765,Romance
1000766,Adventure
1000766,Action
1000766,Science Fiction
1000767,Family
1000767,Action
1000767,Animation
1000767,Fantasy
1000767,Adventure
1000768,Adventure
1000768,Action
1000768,Science Fiction
1000769,Action
1000769,Adventure
1000769,Fantasy
1000770,Fantasy
1000770,Adventure
1000770,Animation
1000770,Family
1000771,Horror
